Sat May 14 17:42:08 CDT 2016
Sat May 14 17:42:08 CDT 2016 DataR12S0p10T0Apr_27_1111.root 
Sat May 14 17:42:33 CDT 2016 DataR12S0p11T0Apr_27_1115.root 
Sat May 14 17:42:56 CDT 2016 DataR12S0p12T0Apr_27_1120.root 
Sat May 14 17:43:19 CDT 2016 DataR12S0p13T0Apr_27_1124.root 
Sat May 14 17:43:42 CDT 2016 DataR12S0p14T0Apr_27_1128.root 
Sat May 14 17:44:06 CDT 2016 DataR12S0p15T0Apr_27_1133.root 
Sat May 14 17:44:28 CDT 2016 DataR12S0p16T0Apr_27_1137.root 
Sat May 14 17:44:53 CDT 2016 DataR12S0p17T0Apr_27_1141.root 
Sat May 14 17:45:16 CDT 2016 DataR12S0p18T0Apr_27_1145.root 
Sat May 14 17:45:39 CDT 2016 DataR12S0p19T0Apr_27_1150.root 
Sat May 14 17:46:03 CDT 2016 DataR12S0p1T0Apr_27_1033.root 
Sat May 14 17:46:25 CDT 2016 DataR12S0p20T0Apr_27_1154.root 
Sat May 14 17:46:49 CDT 2016 DataR12S0p21T0Apr_27_1158.root 
Sat May 14 17:47:12 CDT 2016 DataR12S0p22T0Apr_27_1202.root 
Sat May 14 17:47:36 CDT 2016 DataR12S0p23T0Apr_27_1207.root 
Sat May 14 17:48:00 CDT 2016 DataR12S0p24T0Apr_27_1211.root 
Sat May 14 17:48:23 CDT 2016 DataR12S0p25T0Apr_27_1215.root 
Sat May 14 17:48:46 CDT 2016 DataR12S0p26T0Apr_27_1220.root 
Sat May 14 17:49:12 CDT 2016 DataR12S0p27T0Apr_27_1220.root 
Sat May 14 17:49:14 CDT 2016 DataR12S0p2T0Apr_27_1037.root 
Sat May 14 17:49:39 CDT 2016 DataR12S0p3T0Apr_27_1041.root 
Sat May 14 17:50:09 CDT 2016 DataR12S0p4T0Apr_27_1046.root 
Sat May 14 17:50:37 CDT 2016 DataR12S0p5T0Apr_27_1050.root 
Sat May 14 17:51:03 CDT 2016 DataR12S0p6T0Apr_27_1054.root 
Sat May 14 17:51:27 CDT 2016 DataR12S0p7T0Apr_27_1058.root 
Sat May 14 17:51:51 CDT 2016 DataR12S0p8T0Apr_27_1103.root 
Sat May 14 17:52:14 CDT 2016 DataR12S0p9T0Apr_27_1107.root 
